"x","y","A","pH_KCL","CEC","IB.samples"
175966.0442,139424.0541,14.579,7.57,9.4316,1.9
175966.0442,139449.063,16.337,7.59,11.1848,NA
175966.0442,139473.943,20.708,7.37,13.5332,NA
175966.0442,139498.9518,15.117,7.32,10.9968,NA
175966.0442,139523.9607,15.328,7,11.3812,1.54
175966.0442,139548.9695,14.888,7.58,11.6552,1.34
175966.0442,139573.9784,16.397,7.25,13.0088,1.11
175991.0531,139424.0541,14.309,7.51,8.8736,NA
175991.0531,139449.063,16.853,7.68,10.4912,1.68
175991.0531,139473.943,19.452,7.25,13.0308,1.37
175991.0531,139498.9518,17.571,7.51,12.4284,NA
175991.0531,139523.9607,15.458,7.07,11.4332,1.49
175991.0531,139548.9695,16.536,7.3,11.4144,1.43
176016.0619,139449.063,17.106,7.71,10.2924,NA
176016.0619,139473.943,16.999,6.84,10.2496,1.87
176016.0619,139498.9518,16.013,7.44,11.3552,1.47
176016.0619,139523.9607,14.945,7.57,11.228,NA
176040.9419,139498.9518,19.023,7.12,12.8592,1.37
